Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,171.01875,-84.31875,90.0,bottom
C2,10u,C_0805_2012Metric,171.01875,-80.41875,-90.0,bottom
C4,100nF,C_0805_2012Metric,150.3,-77.7,180.0,top
C6,10u,C_0805_2012Metric,177.6,-81.35,0.0,top
C7,18p,C_0805_2012Metric,155.575,-80.675,0.0,top
C8,18p,C_0805_2012Metric,155.575,-88.375,180.0,top
C9,10µF,C_0805_2012Metric,158.675,-76.575,0.0,top
C10,100nF,C_0805_2012Metric,158.675,-78.675,0.0,top
C11,100n,C_0805_2012Metric,159.875,-92.175,-90.0,top
C12,100nF,C_0805_2012Metric,168.475,-79.075,-90.0,top
C13,100nF,C_0805_2012Metric,168.775,-88.975,180.0,top
C14,100nF,C_0805_2012Metric,155.575,-90.375,0.0,top
D1,LED_DEBUG,LED_0805_2012Metric,174.825,-71.35,0.0,top
D2,LED_DEBUG,LED_0805_2012Metric,174.8,-73.4,0.0,top
D3,D_TVS_x2_AAC,SOT-23,145.4,-82.8,90.0,top
D4,LED_DEBUG,LED_0805_2012Metric,151.225,-90.425,0.0,top
D5,LED_DEBUG,LED_0805_2012Metric,151.325,-93.125,0.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4085,173.85,-80.35,-90.0,bottom
J2,DB9_Male_MountingHoles,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,139.880331,-77.45,-90.0,top
R1,120,R_0805_2012Metric,144.55,-77.55,0.0,top
R2,5.1k,R_0805_2012Metric,174.75,-77.4,0.0,top
R3,5.1k,R_0805_2012Metric,177.6,-84.65,0.0,top
R4,220,R_0805_2012Metric,174.7875,-69.35,180.0,top
R5,560,R_0805_2012Metric,174.75,-75.35,180.0,top
R6,10k,R_0805_2012Metric,164.375,-77.775,180.0,top
R7,1.5k,R_0805_2012Metric,171.25,-81.6875,-90.0,top
R8,120,R_0805_2012Metric,151.225,-88.425,180.0,top
R9,120,R_0805_2012Metric,151.325,-95.125,180.0,top
SW2,120,SW_Push_1P2T_Vertical_E-Switch_800UDP8P1A1M6,143.56,-75.49,90.0,top
SW3,BOOT,SW_SPST_CK_RS282G05A3,167.075,-74.675,180.0,top
SW4,RST,SW_SPST_CK_RS282G05A3,165.875,-92.175,180.0,top
U1,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,165.61875,-82.11875,180.0,bottom
U2,SN65HVD232,SOIC-8_3.9x4.9mm_P1.27mm,150.1,-82.3,-90.0,top
U3,STM32F302C6Tx,LQFP-48_7x7mm_P0.5mm,163.675,-84.175,0.0,top
Y1,8MHz,Crystal_SMD_5032-4Pin_5.0x3.2mm,155.575,-84.475,-90.0,top
